,processed_by,block,pot_id,trt,sampled,volume_cm_cubed,raw_total_length_mm,mean_radius_mm,dpi,border_pixels,particle_clean_size,circularity,min_threshold,max_threshold,remarks
138,TTR,B4,SEAC-18,WD,pot,2299.57,107795.4,0.4603477,600,50,1,0.75,0,190,"#P 900-2200 , image 02,08,10 EDITED"
139,TTR,B3,SEAC-19,WD,pot,2299.57,34170.79,0.3708634,600,50,1,0.75,0,190,"#P 1600-2300, changed from ""WW"" to ""WD"""
140,TTR,B5,SEAC-20,WW,pot,2299.57,126392.3,0.5018373,600,50,1,0.75,0,190,"#P 1200-5100 , image 01,02 EDITED"
141,GX,B3,SEAL-01,WD,pot,2299.57,143245.1,0.4202074,600,50,3,0.75,0,190,#P 4600-7800
142,GX,B2,SEAL-02,WW,pot,2299.57,199932.8,0.5005149,600,50,3,0.75,0,190,-
143,TTR,B3,SEAL-03,WD,pot,2299.57,77189.46,0.3979329,600,50,3,0.75,0,190,#P 1900-3700
144,TTR,B1,SEAL-04,WD,pot,2299.57,263831.9,0.3692226,600,50,3,0.75,0,190,#P 1900-5600
145,TTR,B1,SEAL-05,WW,pot,2299.57,68034.45,0.5685227,60,50,3,0.75,0,190,#P 2500-4100
146,TTR,B5,SEAL-06,WW,pot,2299.57,414171.6,0.3859624,600,50,3,0.75,0,190,#p 3200-8200
147,LB,B1,SEAL-07,WW,pot,2299.57,85755.52,0.5096282,600,50,3,0.75,0,190,#P 4000
148,TTR,B2,SEAL-08,WD,pot,2299.57,202847.2,0.4400572,600,50,3,0.75,0,190,#P 2300-6800
149,TTR,B3,SEAL-09,WW,pot,2299.57,89067,0.2870719,600,50,3,0.75,0,190,"#P 3700-8700, image 01,02,03,06,08 EDITED"
150,LB,B4,SEAL-10,WW,pot,2299.57,55171.26,0.3183135,600,50,3,0.75,0,190,#P 4000-8000
151,TTR,B4,SEAL-11,WW,pot,2299.57,136357.2,0.4994758,600,50,3,0.75,0,190,#P 1700-6800
152,TTR,B2,SEAL-12,WD,pot,2299.57,222592.2,0.4748903,600,50,3,0.75,0,190,"#P 2700-11000, image 03,06 EDITED"
153,TTR,B2,SEAL-13,WW,pot,2299.57,123330.9,0.4437518,600,50,3,0.75,0,190,#P 900-8700
154,TTR,B1,SEAL-14,WD,pot,2299.57,253744.9,0.3706316,600,50,3,0.75,0,190,#P 900-6800
155,LB,B5,SEAL-15,WW,pot,2299.57,48779.64,0.3514776,600,50,3,0.75,0,190,#P 3000
156,GX,B3,SEAL-16,WW,pot,2299.57,236775.8,0.5299651,600,50,3,0.75,0,190,-
157,GX,B4,SEAL-17,WD,pot,2299.57,185492.7,0.4737058,600,50,3,0.75,0,190,-
158,GX,B5,SEAL-18,WD,pot,2299.57,101929.3,0.4854867,600,50,3,0.75,0,190,-
159,GX,B5,SEAL-19,WD,pot,2299.57,217921.2,0.3413257,600,50,3,0.75,0,190,-
160,TTR,B4,SEAL-20,WD,pot,2299.57,252842.9,0.3833187,600,50,3,0.75,0,190,"b3_seal-04_ww written original labled with GX initials - TTR, EDITED THE IMAGES -TTR"
161,TTR,B4,SESE-01,WD,pot,2299.57,331879.8,0.378737,600,50,1,0.75,0,190,#P 3800-6800
162,TTR,B4,SESE-02,WW,pot,2299.57,256612.9,0.3254048,600,50,1,0.75,0,190,"#1700-5200, changed from ""B2"" to ""B4"""
163,TTR,B2,SESE-03,WW,pot,2299.57,121672.2,0.2952933,600,50,1,0.75,0,190,"changed from ""B2"" to ""B3"" (GX)"
164,GX,B5,SESE-04,WW,pot,2299.57,141141.9,0.3025858,600,50,1,0.75,0,190,-
165,GX,B5,SESE-05,WD,pot,2299.57,404284.6,0.2952502,600,50,1,0.75,0,190,-
166,TTR,B5,SESE-06,WD,pot,2299.57,306839.2,0.3500771,600,50,1,0.75,0,190,"image 4 duplicate of 3 - TTR,  B3 to B5 (GX)"
167,TTR,B2,SESE-07,WD,pot,2299.57,286858.2,0.3535982,600,50,1,0.75,0,190,-
168,TTR,B2,SESE-08,WW,pot,2299.57,267963.2,0.3459529,600,50,1,0.75,0,190,-
169,TTR,B1,SESE-09,WW,pot,2299.57,328620.9,0.3139236,600,50,1,0.75,0,190,-
170,TTR,B2,SESE-10,WD,pot,2299.57,283358.3,0.2817296,600,50,1,0.75,0,190,-
171,TTR,B3,SESE-11,WD,pot,2299.57,325320.8,0.3399705,600,50,1,"0,75",0,190,-
172,TTR,B4,SESE-12,WD,pot,2299.57,370721.8,0.3285012,600,50,1,0.75,0,190,-
173,TTR,B3,SESE-13,WW,pot,2299.57,193416,0.3332811,600,50,1,0.75,0,190,-
174,TTR,B5,SESE-14,WW,pot,2299.57,245848.3,0.2793569,600,50,1,0.75,0,190,-
175,TTR,B4,SESE-15,WW,pot,2299.57,274533.9,0.4327406,600,50,1,0.75,0,190,-
176,GX,B3,SESE-16,WW,pot,2299.57,239184.9,0.487,600,50,1,0.75,0,190,-
177,TTR,B3,SESE-17,WD,pot,2299.57,228667.6,0.3476401,600,50,1,0.75,0,190,-
178,TTR,B1,SESE-18,WD,pot,2299.57,352003.7,0.3340646,600,50,1,0.75,0,190,-
179,GX,B1,SESE-19,WW,pot,2299.57,214465.1,0.3193873,600,50,1,0.75,0,190,-
180,GX,B1,SESE-20,WD,pot,2299.57,200813.3,0.3110199,600,50,1,0.75,0,190,-
181,TTR,B5,SITR-01,WW,pot,2299.57,54224.26,0.6497066,600,50,1,0.75,0,180,#P 1000-5000
182,TTR,B2,SITR-02,WD,pot,2299.57,118677.2,0.5724386,600,50,1,0.75,0,180,#P 1500-3000
183,TTR,B3,SITR-03,WD,pot,2299.57,115223.4,0.4333092,600,50,1,0.75,0,180,#P 1000-3000
184,GX,B1,SITR-04,WW,pot,2299.57,22266.36,0.6315439,600,50,1,0.75,0,180,-
185,GX,B1,SITR-05,WD,pot,2299.57,397.256,0.4233316,600,50,1,0.75,0,180,B5 to B1 (GX)
186,GX,B2,SITR-06,WW,pot,2299.57,1165.31,0.550332,600,50,1,0.75,0,180,-
187,TTR,B1,SITR-07,WD,pot,2299.57,24171.32,0.5581254,600,50,1,0.75,0,180,#P 2500-5000
188,GX,B3,SITR-08,WW,pot,2299.57,29539.56,0.7625665,600,50,1,0.75,0,180,-
189,TTR,B5,SITR-09,WD,pot,2299.57,67630.51,0.5721474,600,50,1,0.75,0,180,#P 2000-6500
190,GX,B4,SITR-10,WW,pot,2299.57,21754.85,0.4059727,600,50,1,0.75,0,180,-
191,GX,B1,SITR-11,WW,pot,2299.57,2154.513,1.038794,600,50,1,0.75,0,180,-
192,TTR,B4,SITR-12,WD,pot,2299.57,62217.89,0.5569512,600,50,1,0.75,0,180,#P 1200-4000
193,GX,B3,SITR-13,WW,pot,2299.57,28971.62,0.8999955,600,50,1,0.75,0,180,-
194,TTR,B3,SITR-14,WD,pot,2299.57,34985.66,0.7645066,600,50,1,0.75,0,180,#P 2200-3600
195,TTR,B5,SITR-15,WD,pot,2299.57,85438.66,0.6325314,600,50,1,0.75,0,180,#P 1300-3000
196,TTR,B4,SITR-16,WD,pot,2299.57,99976.09,0.4002195,600,50,1,0.75,0,180,#P 600-2200
197,GX,B4,SITR-17,WW,pot,2299.57,523.83,0.44,600,50,1,0.75,0,180,-
198,TTR,B2,SITR-18,WW,pot,2299.57,39016.6,0.6687713,600,50,1,0.75,0,180,#P 1700-2700
199,TTR,B5,SITR-19,WW,pot,2299.57,48930.18,0.7455943,600,50,1,0.75,0,180,#P 700-2700
200,TTR,B2,SITR-20,WD,pot,2299.57,61821.86,0.6050316,600,50,1,0.75,0,180,#P 2800-6500
201,TTR,B5,SOBI-01,WW,pot,2299.57,710230.8,0.3379282,600,50,1,0.75,0,190,RAW images 51/52 and 97/98 are dups - TTR
202,TTR,B2,SOBI-02,WW,pot,2299.57,272944.9,0.407196,600,50,1,0.75,0,190,-
203,TTR,B4,SOBI-03,WW,pot,2299.57,695595.2,0.3712451,600,50,1,0.75,0,190,-
204,TTR,B4,SOBI-04,WD,pot,2299.57,301821.9,0.3880382,600,50,1,0.75,0,190,-
205,TTR,B1,SOBI-05,WD,pot,2299.57,244866.2,0.395238,600,50,1,0.75,0,190,-
206,TTR,B4,SOBI-06,WW,pot,2299.57,531815.2,0.3853713,600,50,1,0.75,0,190,-
207,TTR,B4,SOBI-07,WD,pot,2299.57,499719.3,0.3449993,600,50,1,0.75,0,190,RAW images 5/6 are dups - TTR
208,TTR,B5,SOBI-08,WD,pot,2299.57,256928.5,0.3709315,600,50,1,0.75,0,190,"file name 11 was repeated twice, fixed in edited - TTR"
209,TTR,B2,SOBI-09,WD,pot,2299.57,452181.1,0.3748917,600,50,1,0.75,0,190,-
210,TTR,B3,SOBI-10,WD,pot,2299.57,383333.5,0.4030837,600,50,1,0.75,0,190,"file name 70 was repeated twice, fixed in edited - TTR"
211,TTR,B1,SOBI-11,WW,pot,2299.57,572925.5,0.3808654,600,50,1,0.75,0,190,"edited, processing - ttr"
212,TTR,B5,SOBI-12,WD,pot,2299.57,264095.2,0.3603786,600,50,1,0.75,0,190,"edited, processing - ttr"
213,TTR,B2,SOBI-13,WD,pot,2299.57,426549.5,0.3596324,600,50,1,0.75,0,190,edting - ttr
214,TTR,B3,SOBI-14,WW,pot,2299.57,612935.6,0.3885143,600,50,1,0.75,0,190,editing - ttr
215,TTR,B2,SOBI-15,WW,pot,2299.57,488213.5,0.4109124,600,50,1,0.75,0,190,lyndsey edited
216,TTR,B3,SOBI-16,WW,pot,2299.57,484212.2,0.3719902,600,50,1,0.75,0,190,lyndsey edited
217,TTR,B1,SOBI-17,WD,pot,2299.57,499528.3,0.4204597,600,50,1,0.75,0,190,lyndsey edited
218,TTR,B5,SOBI-18,WW,pot,2299.57,417267.1,0.3960604,600,50,1,0.75,0,190,lyndsey edited
219,TTR,B3,SOBI-19,WD,pot,2299.57,17803.88,0.3328276,600,50,1,0.75,0,190,sobi-19 rescaned - TTR
220,TTR,B1,SOBI-20,WW,pot,2299.57,348047,0.3977,600,50,1,0.75,0,190,lyndsey edited
221,TTR,B3,SYNO-01,WW,pot,2299.57,337439.9,0.333297,600,50,1,0.75,0,190,edited - ttr
222,TTR,B2,SYNO-02,WW,pot,2299.57,457241.1,0.4056812,600,50,1,0.75,0,190,lyndsey edited
223,GX,B3,SYNO-03,WD,pot,2299.57,363235.5,0.3227019,600,50,1,0.75,0,190,GX edited
224,GX,B5,SYNO-04,WW,pot,2299.57,329605,0.337223,600,50,1,0.75,0,190,GX edited
225,TTR,B4,SYNO-05,WD,pot,2299.57,187812.9,0.3477783,600,50,1,0.75,0,190,lyndsey edited
226,GX,B5,SYNO-06,WD,pot,2299.57,339412,0.3729318,600,50,1,0.75,0,190,GX edited
227,GX,B3,SYNO-07,WW,pot,2299.57,426995.3,0.3252886,600,50,1,0.75,0,190,GX edited
228,GX,B5,SYNO-08,WW,pot,2299.57,200165.1,0.3651445,600,50,1,0.75,0,190,GX edited
229,GX,B1,SYNO-09,WD,pot,2299.57,373633.5,0.3586901,600,50,1,0.75,0,190,GX edited
230,TTR,B4,SYNO-10,WD,pot,2299.57,321104,0.5165417,600,50,1,0.75,0,190,GX edited
231,TTR,B1,SYNO-11,WD,pot,2299.57,257789.5,0.3818535,600,50,1,0.75,0,190,lyndsey edited
232,TTR,B3,SYNO-12,WD,pot,2299.57,293590.3,0.360417,600,50,1,0.75,0,190,lyndsey edited
233,GX,B1,SYNO-13,WW,pot,2299.57,237956.3,0.350377,600,50,1,0.75,0,190,GX edited
234,TTR,B1,SYNO-14,WW,pot,2299.57,474782.8,0.3454409,600,50,1,0.75,0,190,editing -ttr
235,GX,B4,SYNO-15,WW,pot,2299.57,300899.8,0.3406424,600,50,1,0.75,0,190,GX edited
236,TTR,B2,SYNO-16,WW,pot,2299.57,286370.9,0.3925629,600,50,1,0.75,0,190,lyndsey edited
237,GX,B2,SYNO-17,WD,pot,2299.57,301389.4,0.3372643,600,50,1,0.75,0,190,GX edited
238,GX,B4,SYNO-18,WW,pot,2299.57,403150.4,0.3094962,600,50,1,0.75,0,190,GX edited
239,TTR,B2,SYNO-19,WD,pot,2299.57,177925.8,0.3495814,600,50,1,0.75,0,190,lyndsey edited
240,GX,B5,SYNO-20,WD,pot,2299.57,116227.4,0.3768074,600,50,1,0/75,0,190,norman edited
241,GX,B1,VAMA-01,WW,pot,2299.57,1353.143,0.338,600,50,1,0.75,0,160,-
242,TTR,B3,VAMA-02,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - GX
243,TTR,B2,VAMA-03,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
244,TTR,B5,VAMA-04,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
245,TTR,B5,VAMA-05,WD,pot,2299.57,0,-,-,-,-,-,-,-,dead plant - TR
246,TTR,B4,VAMA-06,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
247,GX,B3,VAMA-07,WD,pot,2299.57,2268.474,0.381,600,50,1,0.75,0,160,-
248,TTR,B4,VAMA-08,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
249,GX,B2,VAMA-09,WW,pot,2299.57,649.7319,0.4021667,600,50,1,0.75,0,160,-
250,TTR,B2,VAMA-10,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
251,TTR,B5,VAMA-11,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
252,TTR,B3,VAMA-12,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
253,TTR,B4,VAMA-13,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
254,GX,B4,VAMA-14,WW,pot,2299.57,757.6396,0.3386667,600,50,1,0.75,0,160,-
255,TTR,B1,VAMA-15,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
256,TTR,B1,VAMA-16,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
257,TTR,B2,VAMA-17,WD,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
258,TTR,B3,VAMA-18,WW,pot,2299.57,-,-,-,-,-,-,-,-,dead plant - TR
259,TTR,B1,VAMA-19,WD,pot,2299.57,114.173,0.2349,600,50,1,0.75,0,160,-
260,TTR,B1,VAMA-20,WD,pot,2299.57,-,-,-,-,-,-,-,-,-
